depth,sweep_label,direction,cutoff,metric,source_col,metric_source,seed,run_ids,value
5,Unfreeze-5,i2t,10,R@10,summary/test/coco_5k_r10_i2t,summary_test,123.0,B0_uf5,93.46
5,Unfreeze-5,i2t,10,R@10,summary/test/coco_5k_r10_i2t,summary_test,456.0,B0_uf5,93.64
6,Unfreeze-6,i2t,10,R@10,summary/test/coco_5k_r10_i2t,summary_test,42.0,B0_uf6,93.52000000000001
7,Unfreeze-7,i2t,10,R@10,summary/test/coco_5k_r10_i2t,summary_test,42.0,B0_uf7,93.5
0,Unfreeze-0 / Proj-only,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,42.0,B0_projonly,47.044000000000004
0,Unfreeze-0 / Proj-only,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,456.0,B0_projonly,47.028
1,Unfreeze-1,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,456.0,B0_uf1,47.04
2,Unfreeze-2,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,123.0,B0_uf2,46.992
2,Unfreeze-2,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,456.0,B0_uf2,46.896
3,Unfreeze-3,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,42.0,B0_uf3,47.04
3,Unfreeze-3,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,123.0,B0_uf3,46.711999999999996
3,Unfreeze-3,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,456.0,B0_uf3,47.036
4,Unfreeze-4 / Base-min,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,42.0,B0,53.14
4,Unfreeze-4 / Base-min,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,123.0,B0,53.164
4,Unfreeze-4 / Base-min,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,456.0,B0,53.0
5,Unfreeze-5,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,42.0,B0_uf5,53.568000000000005
5,Unfreeze-5,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,123.0,B0_uf5,53.52400000000001
5,Unfreeze-5,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,456.0,B0_uf5,53.564
6,Unfreeze-6,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,42.0,B0_uf6,53.644000000000005
7,Unfreeze-7,t2i,1,R@1,summary/test/coco_5k_r1_t2i,summary_test,42.0,B0_uf7,53.784
0,Unfreeze-0 / Proj-only,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,42.0,B0_projonly,74.06
0,Unfreeze-0 / Proj-only,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,456.0,B0_projonly,74.004
1,Unfreeze-1,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,456.0,B0_uf1,74.028
2,Unfreeze-2,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,123.0,B0_uf2,74.09599999999999
2,Unfreeze-2,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,456.0,B0_uf2,73.83999999999999
3,Unfreeze-3,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,42.0,B0_uf3,74.064
3,Unfreeze-3,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,123.0,B0_uf3,73.98
3,Unfreeze-3,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,456.0,B0_uf3,74.016
4,Unfreeze-4 / Base-min,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,42.0,B0,78.752
4,Unfreeze-4 / Base-min,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,123.0,B0,78.7
4,Unfreeze-4 / Base-min,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,456.0,B0,78.84
5,Unfreeze-5,t2i,5,R@5,summary/test/coco_5k_r5_t2i,summary_test,42.0,B0_uf5,78.944
