panel,reference,thesis_label,dataset_group,metric,source_col,reference_dataset,mean,std,delta,n_seeds
basemin,Base-min,Loss-SigLIP,Flickr30K,I2T R@5,summary/test/r5_i2t,flickr30k,99.5,0.2645751311064575,-0.20000000000000284,3
basemin,Base-min,Loss-SigLIP,Flickr30K,T2I R@5,summary/test/r5_t2i,flickr30k,95.32000000000001,0.2835489375751592,-0.646666666666647,3
basemin,Base-min,Loss-SigLIP,COCO 5K,I2T R@5,summary/test/coco_5k_r5_i2t,coco,86.77999999999999,0.03999999999999915,-1.3733333333333633,3
basemin,Base-min,Loss-SigLIP,COCO 5K,T2I R@5,summary/test/coco_5k_r5_t2i,coco,77.436,0.014422205101851906,-1.3279999999999887,3
basemin,Base-min,Loss-SigLIP,CxC,I2T R@5,summary/test/cxc_r5_i2t,coco,88.33333333333333,0.02309401076758864,-1.3333333333333428,3
basemin,Base-min,Loss-SigLIP,CxC,T2I R@5,summary/test/cxc_r5_t2i,coco,79.45565700250948,0.020549421109430026,-1.236051043835758,3
basemin,Base-min,HN-Syntactic,Flickr30K,I2T R@5,summary/test/r5_i2t,flickr30k,99.59999999999998,1.7404671430534633e-14,-0.10000000000002274,3
basemin,Base-min,HN-Syntactic,Flickr30K,T2I R@5,summary/test/r5_t2i,flickr30k,95.71999999999998,0.07211102550927924,-0.2466666666666697,3
basemin,Base-min,HN-Syntactic,COCO 5K,I2T R@5,summary/test/coco_5k_r5_i2t,coco,87.28,,-0.8733333333333491,1
basemin,Base-min,HN-Syntactic,COCO 5K,T2I R@5,summary/test/coco_5k_r5_t2i,coco,77.98,,-0.7839999999999918,1
basemin,Base-min,HN-Syntactic,CxC,I2T R@5,summary/test/cxc_r5_i2t,coco,88.64,,-1.0266666666666708,1
basemin,Base-min,HN-Syntactic,CxC,T2I R@5,summary/test/cxc_r5_t2i,coco,79.99759730898607,,-0.6941107373591677,1
basemin,Base-min,Aux-ObjCls,Flickr30K,I2T R@5,summary/test/r5_i2t,flickr30k,,,,0
basemin,Base-min,Aux-ObjCls,Flickr30K,T2I R@5,summary/test/r5_t2i,flickr30k,,,,0
basemin,Base-min,Aux-ObjCls,COCO 5K,I2T R@5,summary/test/coco_5k_r5_i2t,coco,87.72,,-0.43333333333335133,1
basemin,Base-min,Aux-ObjCls,COCO 5K,T2I R@5,summary/test/coco_5k_r5_t2i,coco,78.756,,-0.007999999999995566,1
basemin,Base-min,Aux-ObjCls,CxC,I2T R@5,summary/test/cxc_r5_i2t,coco,89.24,,-0.4266666666666765,1
basemin,Base-min,Aux-ObjCls,CxC,T2I R@5,summary/test/cxc_r5_t2i,coco,80.71840461316675,,0.026696566821513557,1
