run_id,display_label,latex_label,intervention_group,reference_label,category,mean,std,n_seeds
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,add_att,86.46435452793835,0.4171605991254544,3
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,add_obj,94.60071128354348,0.15589477466849644,3
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,replace_att,86.54822335025382,0.25380710659898414,3
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,replace_obj,97.49798224374496,0.09246520772711153,3
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,replace_rel,80.51209103840682,0.21337126600284584,3
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,swap_att,69.71971971971972,0.08668922960805717,3
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,swap_obj,71.42857142857143,0.0,3
Base-min,Base-min,Base-min,baseline,Zero-shot CLIP,overall,83.8245219417398,0.12009142100522256,3
Seg-Spatial,Seg-Spatial,Seg-Spatial,segment_enrichment,Intra-Reg,add_att,86.27167630057805,0.4335260115606948,3
Seg-Spatial,Seg-Spatial,Seg-Spatial,segment_enrichment,Intra-Reg,add_obj,93.7439379243453,0.21139180133563154,3
Seg-Spatial,Seg-Spatial,Seg-Spatial,segment_enrichment,Intra-Reg,replace_att,86.29441624365482,0.5531597644087175,3
Seg-Spatial,Seg-Spatial,Seg-Spatial,segment_enrichment,Intra-Reg,replace_obj,97.51815980629539,0.0605326876513268,3
Seg-Spatial,Seg-Spatial,Seg-Spatial,segment_enrichment,Intra-Reg,replace_rel,78.85253674727359,0.14805590323372494,3
Seg-Spatial,Seg-Spatial,Seg-Spatial,segment_enrichment,Intra-Reg,swap_att,68.71871871871872,0.22935814289068113,3
Seg-Spatial,Seg-Spatial,Seg-Spatial,segment_enrichment,Intra-Reg,swap_obj,69.38775510204081,0.7069595132934213,3
Seg-Spatial,Seg-Spatial,Seg-Spatial,segment_enrichment,Intra-Reg,overall,82.96960012041524,0.043363512577862424,3
Seg-Semantic,Seg-Semantic,Seg-Semantic,segment_enrichment,Intra-Reg,add_att,86.48843930635837,0.5109153043255409,2
Seg-Semantic,Seg-Semantic,Seg-Semantic,segment_enrichment,Intra-Reg,add_obj,93.81668283220176,0.24004594899640663,2
Seg-Semantic,Seg-Semantic,Seg-Semantic,segment_enrichment,Intra-Reg,replace_att,85.8502538071066,0.2692030892842214,2
Seg-Semantic,Seg-Semantic,Seg-Semantic,segment_enrichment,Intra-Reg,replace_obj,97.48789346246973,0.12840922176509717,2
Seg-Semantic,Seg-Semantic,Seg-Semantic,segment_enrichment,Intra-Reg,replace_rel,79.48079658605975,0.45262880730291477,2
Seg-Semantic,Seg-Semantic,Seg-Semantic,segment_enrichment,Intra-Reg,swap_att,67.56756756756756,0.4246887574694001,2
Seg-Semantic,Seg-Semantic,Seg-Semantic,segment_enrichment,Intra-Reg,swap_obj,71.0204081632653,0.0,2
Seg-Semantic,Seg-Semantic,Seg-Semantic,segment_enrichment,Intra-Reg,overall,83.10172024643272,0.13138502438207983,2
Seg-Geom,Seg-Geom,Seg-Geom,segment_enrichment,Intra-Reg,add_att,85.98265895953757,0.6130983651906459,2
Seg-Geom,Seg-Geom,Seg-Geom,segment_enrichment,Intra-Reg,add_obj,93.38021338506304,0.1714613921402843,2
Seg-Geom,Seg-Geom,Seg-Geom,segment_enrichment,Intra-Reg,replace_att,86.35786802030458,0.6281405416631767,2
Seg-Geom,Seg-Geom,Seg-Geom,segment_enrichment,Intra-Reg,replace_obj,97.51815980629539,0.08560614784340073,2
Seg-Geom,Seg-Geom,Seg-Geom,segment_enrichment,Intra-Reg,replace_rel,79.01849217638693,0.20116835880129064,2
Seg-Geom,Seg-Geom,Seg-Geom,segment_enrichment,Intra-Reg,swap_att,68.3933933933934,0.5308609468367472,2
Seg-Geom,Seg-Geom,Seg-Geom,segment_enrichment,Intra-Reg,swap_obj,70.20408163265306,0.0,2
Seg-Geom,Seg-Geom,Seg-Geom,segment_enrichment,Intra-Reg,overall,82.979266767662,0.036020294461721794,2
