panel,reference,thesis_label,dataset_group,metric,source_col,reference_dataset,mean,std,delta,n_seeds
intrareg,Intra-Reg,Seg-Spatial,Flickr30K,I2T R@1,summary/test/r1_i2t,flickr30k,91.61666666666666,0.23629078131263054,-0.2500000000000142,3
intrareg,Intra-Reg,Seg-Spatial,Flickr30K,T2I R@1,summary/test/r1_t2i,flickr30k,81.22666666666667,0.2196208854670445,-0.3266666666666538,3
intrareg,Intra-Reg,Seg-Spatial,COCO 5K,I2T R@1,summary/test/coco_5k_r1_i2t,coco,64.71999999999998,0.2505992817228334,-0.22000000000001307,3
intrareg,Intra-Reg,Seg-Spatial,COCO 5K,T2I R@1,summary/test/coco_5k_r1_t2i,coco,52.470666666666666,0.09246260505379301,-0.8373333333333335,3
intrareg,Intra-Reg,Seg-Spatial,CxC,I2T R@1,summary/test/cxc_r1_i2t,coco,66.34666666666668,0.3233161507461912,-0.1733333333333178,3
intrareg,Intra-Reg,Seg-Spatial,CxC,T2I R@1,summary/test/cxc_r1_t2i,coco,54.27412034812323,0.052873357681504696,-0.7114635057931551,3
intrareg,Intra-Reg,Seg-Semantic,Flickr30K,I2T R@1,summary/test/r1_i2t,flickr30k,92.23333333333333,0.20207259421636573,0.36666666666666003,3
intrareg,Intra-Reg,Seg-Semantic,Flickr30K,T2I R@1,summary/test/r1_t2i,flickr30k,81.53333333333333,0.16165807537309235,-0.01999999999999602,3
intrareg,Intra-Reg,Seg-Semantic,COCO 5K,I2T R@1,summary/test/coco_5k_r1_i2t,coco,65.49,0.3535533905932738,0.5499999999999972,2
intrareg,Intra-Reg,Seg-Semantic,COCO 5K,T2I R@1,summary/test/coco_5k_r1_t2i,coco,52.922,0.05374011537017295,-0.3860000000000028,2
intrareg,Intra-Reg,Seg-Semantic,CxC,I2T R@1,summary/test/cxc_r1_i2t,coco,66.86000000000001,0.3394112549695456,0.3400000000000176,2
intrareg,Intra-Reg,Seg-Semantic,CxC,T2I R@1,summary/test/cxc_r1_t2i,coco,54.68124299215121,0.07362156139216385,-0.3043408617651764,2
intrareg,Intra-Reg,Seg-Geom,Flickr30K,I2T R@1,summary/test/r1_i2t,flickr30k,91.91666666666667,0.20207259421636514,0.04999999999999716,3
intrareg,Intra-Reg,Seg-Geom,Flickr30K,T2I R@1,summary/test/r1_t2i,flickr30k,81.37333333333333,0.06027713773341884,-0.1799999999999926,3
